ISIN	Sector	Ticker
US5260571048	Consumer Discretionary	LEN
US62944T1051	Consumer Discretionary	NVR
US7458671010	Consumer Discretionary	PHM
US5486611073	Consumer Discretionary	LOW
US4370761029	Consumer Discretionary	HD
US8243481061	Materials	SHW
US8894781033	Consumer Discretionary	TOL
US5745991068	Industrials	MAS
US5261071071	Industrials	LII
US6081901042	Consumer Discretionary	MHK
US89055F1030	Consumer Discretionary	BLD
US34964C1062	Industrials	FBHS
TH0646010R18	Energy	PTT.R
TH0737010R15	Consumer Staples	CPALL.R
TH0003010R12	Materials	SCC.R
TH0765010R16	Industrials	AOT.R
TH0268010R11	Communication	ADVANC.R
TH0264010R10	Health Care	BDMS.R
TH0016010017	Financials	KBANK.F
TH0355010R16	Energy	PTTEP.R
TH0481010R10	Real Estate	CPN.R
TH0016010R14	Financials	KBANK.R
TH1074010R12	Materials	PTTGC.R
TH0201010R12	Communication	INTUCH.R
US30231G1022	Energy	XOM
US17275R1023	Information Technology	CSCO
US92343V1044	Communication	VZ
US5949181045	Information Technology	MSFT
US0378331005	Information Technology	AAPL
US0231351067	Consumer Discretionary	AMZN
US30303M1027	Communication	FB
US92826C8394	Information Technology	V
US02079K3059	Communication	GOOGL
US57636Q1040	Information Technology	MA
US02079K1079	Communication	GOOG
US6934751057	Financials	PNC
US55261F1049	Financials	MTB
US3167731005	Financials	FITB
US0549371070	Financials	BBT
US8679141031	Financials	STI
US4932671088	Financials	KEY
US33616C1009	Financials	FRC
US1746101054	Financials	CFG
US7591EP1005	Financials	RF
US4461501045	Financials	HBAN
US78486Q1013	Financials	SIVB
US2003401070	Financials	CMA
HK0000069689	Financials	1299
HK0388045442	Financials	388
HK0016000132	Real Estate	16
KYG217651051	Industrials	1
HK0823032773	Real Estate	823
HK0003000038	Utilities	3
KYG2177B1014	Real Estate	1113
HK0011000095	Financials	11
HK0002007356	Utilities	2
HK0027032686	Consumer Discretionary	27
HK2388011192	Financials	2388
BMG507361001	Industrials	J36
KYG7800X1079	Consumer Discretionary	1928
DK0060534915	Health Care	NOVO B
DK0060079531	Industrials	DSV
DK0060094928	Utilities	ORSTED
DK0010181759	Consumer Staples	CARL B
DK0060448595	Health Care	COLO B
DK0010272202	Health Care	GEN
DK0010274414	Financials	DANSKE
DK0060336014	Materials	NZYM B
DK0060227585	Materials	CHR
DK0010244508	Industrials	MAERSK B
DK0010272632	Health Care	GN
US0404131064	Information Technology	ANET
US6200763075	Information Technology	MSI
US8725901040	Communication	TMUS
US1567001060	Communication	CTL
CH0114405324	Consumer Discretionary	GRMN
US48203R1041	Information Technology	JNPR
US3156161024	Information Technology	FFIV
US98919V1052	Communication	ZAYO
US1717793095	Information Technology	CIEN
US36164V3050	Communication	GLIBA
BRITUBACNPR1	Financials	ITUB4
BRVALEACNOR0	Materials	VALE3
BRBBDCACNPR8	Financials	BBDC4
BRPETRACNPR6	Energy	PETR4
BRPETRACNOR9	Energy	PETR3
BRABEVACNOR1	Consumer Staples	ABEV3
BRB3SAACNOR6	Financials	B3SA3
BRITSAACNPR7	Financials	ITSA4
BRBBASACNOR3	Financials	BBAS3
BRBBDCACNOR1	Financials	BBDC3
BRLRENACNOR1	Consumer Discretionary	LREN3
PLPKO0000016	Financials	PKO
PLPKN0000018	Energy	PKN
PLPZU0000011	Financials	PZU
PLPEKAO00016	Financials	PEO
PLKGHM000017	Materials	KGH
PLOPTTC00011	Communication	CDR
PLBZ00000044	Financials	SPL
PLLPP0000011	Consumer Discretionary	LPP
PLPGNIG00014	Energy	PGN
PLPGER000010	Utilities	PGE
PLLOTOS00025	Energy	LTS
PLCFRPT00013	Communication	CPS
PLDINPL00011	Consumer Staples	DNP
PLBRE0000012	Financials	MBK
PLBIG0000016	Financials	MIL
MXP001691213	Communication	AMXL
MXP320321310	Consumer Staples	FEMSAUBD
BMG2519Y1084	Financials	BAP
MXP370711014	Financials	GFNORTEO
MX01WA000038	Consumer Staples	WALMEX*
US55024U1097	Information Technology	LITE
US9255501051	Information Technology	VIAV
US31787A5074	Information Technology	FNSR
US2787681061	Information Technology	SATS
US90347A1007	Information Technology	UBNT
US45867G1013	Information Technology	IDCC
US20337X1090	Information Technology	COMM
US92552V1008	Information Technology	VSAT
US64115T1043	Information Technology	NTCT
US00401C1080	Information Technology	ACIA
US7274931085	Information Technology	PLT
US2546871060	Communication	DIS
AEN000101016	Financials	FAB
AEE000401019	Communication	ETISALAT
AEA000201011	Financials	ADCB
AEA002001013	Real Estate	ALDAR
AED000201015	Financials	DIB
AEE000301011	Real Estate	EMAAR
GB00B7FC0762	Health Care	NMC
AEDFXA0M6V00	Industrials	DPW
AED000701014	Energy	DANA
AED000601016	Industrials	DIC
AEA003001012	Industrials	AIRARABIA
AED001301012	Real Estate	DAMAC
AED000901010	Financials	DFM
AEA005901011	Financials	AMANAT
US6516391066	Materials	NEM
CA0679011084	Materials	ABX
AU000000NCM7	Materials	NCM
ZAE000043485	Materials	ANG
CA49741E1007	Materials	KL
CA0084741085	Materials	AEM
CA4969024047	Materials	K
ZAE000018123	Materials	GFI
US2044481040	Materials	BVN
ZAE000173951	Materials	SGL
CA0115321089	Materials	AGI
CA11777Q2099	Materials	BTO
CA98462Y1007	Materials	YRI
US0367521038	Health Care	ANTM
US1266501006	Health Care	CVS
US40412C1018	Health Care	HCA
US4448591028	Health Care	HUM
US50540R4092	Health Care	LH
US1255231003	Health Care	CI
US15135B1017	Health Care	CNC
US94946T1060	Health Care	WCG
US74834L1008	Health Care	DGX
US9139031002	Health Care	UHS
US60855R1005	Health Care	MOH
US74460D1090	Real Estate	PSA
US95040Q1040	Real Estate	WELL
US0534841012	Real Estate	AVB
US29476L1070	Real Estate	EQR
US92276F1003	Real Estate	VTR
US2971781057	Real Estate	ESS
US40414L1098	Real Estate	HCP
US59522J1034	Real Estate	MAA
US30225T1025	Real Estate	EXR
US9026531049	Real Estate	UDR
US46187W1071	Real Estate	INVH
US8666741041	Real Estate	SUI
US29472R1086	Real Estate	ELS
US1331311027	Real Estate	CPT
US6819361006	Real Estate	OHI
US03748R7540	Real Estate	AIV
US58463J3041	Real Estate	MPW
US68389X1054	Information Technology	ORCL
IE00BZ12WP82	Materials	LIN
US26614N1028	Materials	DD
US0091581068	Materials	APD
US2788651006	Materials	ECL
US2605571031	Materials	DOW
US6935061076	Materials	PPG
NL0009434992	Materials	LYB
US22052L1044	Materials	CTVA
US6703461052	Materials	NUE
US35671D8570	Materials	FCX
US4595061015	Materials	IFF
US1508701034	Materials	CE
CA3518581051	Materials	FNV
US0351282068	Materials	AU
US7802871084	Materials	RGLD
AU000000NST8	Materials	NST
AU000000EVN4	Materials	EVN
US38059T1060	Materials	GFI
US6541061031	Consumer Discretionary	NKE
US1941621039	Consumer Staples	CL
US4943681035	Consumer Staples	KMB
ZAE000015889	Consumer Discretionary	NPN
ZAE000109815	Financials	SBK
ZAE000066304	Financials	FSR
ZAE000006896	Materials	SOL
ZAE000042164	Communication	MTN
ZAE000070660	Financials	SLM
ZAE000255915	Financials	ABG
ZAE000255360	Financials	OMU
ZAE000216537	Consumer Staples	BID
ZAE000026480	Financials	REM
KR7005930003	Information Technology	005930
KR7000660001	Information Technology	000660
KR7005380001	Consumer Discretionary	005380
KR7005490008	Materials	005490
KR7055550008	Financials	055550
KR7105560007	Financials	105560
KR7068270008	Health Care	068270
KR7035420009	Communication	035420
KR7051910008	Materials	051910
KR7012330007	Consumer Discretionary	012330
KYG875721634	Communication	700
US64110L1061	Communication	NFLX
US20030N1019	Communication	CMCSA
JP3436100006	Communication	9984
US16119P1084	Communication	CHTR
US0304201033	Utilities	AWK
US98419M1009	Industrials	XYL
CH0030170408	Industrials	GEBN
US45167R1041	Industrials	IEX
FR0000124141	Utilities	VIE
GB0004052071	Information Technology	HLMA
US03836W1036	Utilities	WTR
GB00B39J2M42	Utilities	UU.
GB00B1FH8J72	Utilities	SVT
FR0010613471	Utilities	SEV
CA0158571053	Utilities	AQN
HK0270001396	Utilities	270
SE0000695876	Industrials	ALFA
IE00BLS09M33	Industrials	PNR
US88162G1031	Industrials	TTEK
US20441A1025	Utilities	SBS
MYL1295OO004	Financials	PBBANK
MYL5347OO009	Utilities	TENAGA
MYL1155OO000	Financials	MAYBANK
MYL1023OO000	Financials	CIMB
MYL5183OO008	Materials	PCHEM
MYL6947OO005	Communication	DIGI
MYL3182OO002	Consumer Discretionary	GENTING
MYL6888OO001	Communication	AXIATA
MYL6012OO008	Communication	MAXIS
MYL5225OO007	Health Care	IHH
MYL5819OO007	Financials	HLBANK
MYL7277OO006	Energy	DIALOG
MYL4065OO008	Consumer Staples	PPB
MYL4707OO005	Consumer Staples	NESTLE
MYL2445OO004	Consumer Staples	KLK
MYL6033OO004	Utilities	PETGAS
MYL5285OO001	Consumer Staples	SIMEPLT
US04269X1054	Health Care	ARRY
US8036071004	Health Care	SRPT
US31572Q8087	Health Care	FGEN
US60468T1051	Health Care	MRTX
US30161Q1040	Health Care	EXEL
US75886F1075	Health Care	REGN
US02043Q1076	Health Care	ALNY
US09609G1004	Health Care	BLUE
US8125781026	Health Care	SGEN
US84652J1034	Health Care	ONCE
US4622601007	Health Care	IOVA
JP3197600004	Health Care	4528
JP3463000004	Health Care	4502
US1101221083	Health Care	BMY
FR0000120578	Health Care	SAN
US46185L1035	Health Care	NVTA
US00434H1086	Health Care	XLRN
DE0006632003	Health Care	MOR
US7370101088	Health Care	PTLA
US60770K1079	Health Care	MRNA
FR0000120271	Energy	FP
FR0000121014	Consumer Discretionary	MC
NL0000235190	Industrials	AIR
FR0000120073	Materials	AI
FR0000131104	Financials	BNP
FR0000125486	Industrials	DG
FR0000120644	Consumer Staples	BN
FR0000120628	Financials	CS
FR0000121972	Industrials	SU
FR0000073272	Industrials	SAF
FR0000121485	Consumer Discretionary	KER
FR0000120693	Consumer Staples	RI
FR0000121667	Consumer Discretionary	EL
CA7800871021	Financials	RY
CA8911605092	Financials	TD
CA29250N1050	Energy	ENB
CA1363751027	Industrials	CNR
CA0641491075	Financials	BNS
CA8672241079	Energy	SU
CA0636711016	Financials	BMO
CA87807B1076	Energy	TRP
CA1125851040	Financials	BAM.A
CA56501R1064	Financials	MFC
CA1360691010	Financials	CM
CA13645T1003	Industrials	CP
CA1363851017	Energy	CNQ
CA67077M1086	Materials	NTR
CA82509L1076	Information Technology	SHOP
NL0010273215	Information Technology	ASML
NL0011821202	Financials	INGA
NL0000009538	Health Care	PHIA
NL0009538784	Information Technology	NXPI
NL0000009827	Materials	DSM
NL0011794037	Consumer Staples	AD
NL0013267909	Materials	AKZAT
NL0000395903	Industrials	WKL
NL0000009165	Consumer Staples	HEIA
GB00BDCPN049	Consumer Staples	CCEP
NL0010773842	Financials	NN
NL0000009082	Communication	KPN
US88579Y1010	Industrials	MMM
AN8068571086	Energy	SLB
US8825081040	Information Technology	TXN
DE0007164600	Information Technology	SAP
DE0008404005	Financials	ALV
DE0007236101	Industrials	SIE
ES0113900J37	Financials	SAN
DE000BASF111	Materials	BAS
DE000BAY0017	Health Care	BAYN
ES0144580Y14	Utilities	IBE
DE000A1EWWW0	Consumer Discretionary	ADS
CA9628791027	Materials	WPM
GB00B2QPKJ12	Materials	FRES
CA32076V1031	Materials	FR
MXP554091415	Materials	PE&OLES*
CA2849025093	Materials	ELD
CA55903Q1046	Materials	MAG
US1921085049	Materials	CDE
JP3116700000	Materials	5857
US4227041062	Materials	HL
GB00B1FW5029	Materials	HOC
CA2652692096	Materials	DPM
CA8119161054	Materials	SEA
US58039P1075	Materials	MUX
IL0010824113	Information Technology	CHKP
IL0006046119	Financials	LUMI
US8816242098	Health Care	TEVA
IL0006625771	Financials	POLI
IL0002730112	Information Technology	NICE
IL0011301780	Information Technology	WIX
IL0006912120	Financials	DSCT
IL0011334468	Information Technology	CYBR
IL0010811243	Industrials	ESLT
IL0006954379	Financials	MZTF
IL0002810146	Materials	ICL
IL0011194789	Real Estate	AZRG
US4062161017	Energy	HAL
US05722G1004	Energy	BHGE
GB00BDSFG982	Energy	FTI
US6370711011	Energy	NOV
US4234521015	Energy	HP
CH0048265513	Energy	RIG
US03755L1044	Energy	APY
US7034811015	Energy	PTEN
NL0000200384	Energy	CLB
US6752321025	Energy	OII
GB00BJVJZD68	Energy	ESV
US2620371045	Energy	DRQ
PAL1201471A1	Energy	MDR
FI0009000681	Information Technology	NOKIA
FI0009003305	Financials	SAMPO
FI0009013403	Industrials	KNEBV
FI0009005987	Materials	UPM
FI0009007132	Utilities	FORTUM
FI0009007884	Communication	ELISA
FI0009013296	Energy	NESTE
FI0009005961	Materials	STERV
FI0009003727	Industrials	WRT1V
FI0009007835	Industrials	METSO
FI0009000459	Materials	HUH1V
FI0009014377	Health Care	ORNBV
FI0009000202	Consumer Staples	KESKOB
FI0009005318	Consumer Discretionary	TYRES
FI4000074984	Industrials	VALMT
AT0000652011	Financials	EBS
AT0000743059	Energy	OMV
AT0000606306	Financials	RBI
AT0000A21KS2	Real Estate	IIA
AT0000831706	Materials	WIE
AT0000641352	Real Estate	CAI
AT0000937503	Materials	VOE
AT0000730007	Industrials	ANDR
AT0000BAWAG2	Financials	BG
AT0000644505	Materials	LNZ
AT0000720008	Communication	TKA
AT0000APOST4	Industrials	POST
AT0000821103	Financials	UQA
AT0000652250	Real Estate	SPI
AT0000908504	Financials	VIG
AT0000946652	Energy	SBO
US03027X1000	Real Estate	AMT
US74340W1036	Real Estate	PLD
US29444U7000	Real Estate	EQIX
US8288061091	Real Estate	SPG
US2538681030	Real Estate	DLR
US7561091049	Real Estate	O
US1011211018	Real Estate	BXP
US0152711091	Real Estate	ARE
US44107P1049	Real Estate	HST
US4655621062	Financials	ITUB
US91912E1055	Materials	VALE
US0594603039	Financials	BBD
US71654V1017	Energy	PBRA
US71654V4086	Energy	PBR
US02319V1035	Consumer Staples	ABEV
MXP370841019	Materials	GMEXICOB
US6174464486	Financials	MS
US6311031081	Financials	NDAQ
US57060D1081	Financials	MKTX
US45866F1049	Financials	ICE
US12503M1080	Financials	CBOE
US7547301090	Financials	RJF
US2692464017	Financials	ETFC
US87236Y1082	Financials	AMTD
US8085131055	Financials	SCHW
US50212V1008	Financials	LPLA
BMG540501027	Financials	LAZ
US45841N1072	Financials	IBKR
US8606301021	Financials	SF
US29977A1051	Financials	EVR
DE000A1ML7J1	Real Estate	VNA
FR0013326246	Real Estate	URW
DE000A0HN5C6	Real Estate	DWNI
GB00B5ZN1N88	Real Estate	SGRO
FR0010040865	Real Estate	GFC
GB00BYW0PQ60	Real Estate	LAND
DE000LEG1110	Real Estate	LEG
CH0008038389	Real Estate	SPSN
GB0001367019	Real Estate	BLND
FR0000121964	Real Estate	LI
LU1673108939	Real Estate	AT1
SE0000379190	Real Estate	CAST
AU000000TCL6	Industrials	TCL
ES0105046009	Industrials	AENA
US65339F1012	Utilities	NEE
US26441C2044	Utilities	DUK
US25746U1097	Utilities	D
US8425871071	Utilities	SO
FR0010533075	Industrials	GET
US49456B1017	Energy	KMI
US30161N1019	Utilities	EXC
US9694571004	Energy	WMB
NZAIAE0002S6	Industrials	AIA
US0255371017	Utilities	AEP
FR0010340141	Industrials	ADP
US20825C1045	Energy	COP
US26875P1012	Energy	EOG
US7185461040	Energy	PSX
US6745991058	Energy	OXY
US56585A1025	Energy	MPC
US0325111070	Energy	APC
US91913Y1001	Energy	VLO
CNE1000002H1	Financials	939
CNE1000003X6	Financials	2318
CNE1000003G1	Financials	1398
HK0941009539	Communication	941
KYG596691041	Consumer Discretionary	3690
CNE1000001Z5	Financials	3988
HK0883013259	Energy	883
CNE1000002L3	Financials	2628
CNE1000002M1	Financials	3968
CNE1000002Q2	Energy	386
HK0688002218	Real Estate	688
CNE100003688	Communication	788
CNE100000Q43	Financials	1288
US6826801036	Energy	OKE
US7237871071	Energy	PXD
US20605P1012	Energy	CXO
US25278X1090	Energy	FANG
US42809H1077	Energy	HES
US16411R2085	Energy	LNG
US25179M1036	Energy	DVN
US5658491064	Energy	MRO
US6550441058	Energy	NBL
US0374111054	Energy	APA
US1270971039	Energy	COG
US87612G1013	Energy	TRGP
MXP225611567	Materials	CEMEXCPO
MXCFFU000001	Real Estate	FUNO11
MXP4987V1378	Communication	TLEVISACPO
MX01GA000004	Industrials	GAPB
MXP495211262	Consumer Staples	BIMBOA
MXP370641013	Financials	GFINBURO
MXP001661018	Industrials	ASURB
US8168511090	Utilities	SRE
IE00B50QMP13	Cash and/or Derivatives	ICSUAGD
US98389B1008	Utilities	XEL
US7445731067	Utilities	PEG
US2091151041	Utilities	ED
US92939U1060	Utilities	WEC
US30040W1080	Utilities	ES
US2333311072	Utilities	DTE
US69351T1060	Utilities	PPL
US3379321074	Utilities	FE
US2810201077	Utilities	EIX
US29364G1031	Utilities	ETR
US0236081024	Utilities	AEE
US1258961002	Utilities	CMS
US22822V1017	Real Estate	CCI
US78410G1040	Real Estate	SBAC
US67066G1040	Information Technology	NVDA
US7475251036	Information Technology	QCOM
JP3633400001	Consumer Discretionary	7203
DE0007100000	Consumer Discretionary	DAI
US3453708600	Consumer Discretionary	F
JP3854600008	Consumer Discretionary	7267
IE00BY7QL619	Industrials	JCI
DE0007664039	Consumer Discretionary	VOW3
US88160R1014	Consumer Discretionary	TSLA
NO0010096985	Energy	EQNR
NO0010031479	Financials	DNB
NO0010063308	Communication	TEL
NO0003054108	Consumer Staples	MOWI
NO0010208051	Materials	YAR
NO0003733800	Consumer Staples	ORK
NO0005052605	Materials	NHY
NO0010582521	Financials	GJF
NO0003053605	Financials	STB
NO0010345853	Energy	AKERBP
LU0075646355	Energy	SUBC
NO0005668905	Industrials	TOM
NO0003078800	Energy	TGS
US7433151039	Financials	PGR
US59156R1086	Financials	MET
US0268747849	Financials	AIG
US0010551028	Financials	AFL
US7443201022	Financials	PRU
US0200021014	Financials	ALL
US89417E1091	Financials	TRV
US4165151048	Financials	HIG
US3635761097	Financials	AJG
US1720621010	Financials	CINF
US5705351048	Financials	MKL
BMG0450A1053	Financials	ACGL
US74251V1026	Financials	PFG
US5404241086	Financials	L
US5341871094	Financials	LNC
AU000000BHP4	Materials	BHP
GB0007188757	Materials	RIO
GB00BH0P3Z91	Materials	BHP
JE00B4T3BW64	Materials	GLEN
GB00B1XZS820	Materials	AAL
JP3371200001	Materials	4063
GB00B03MLX29	Energy	RDSA
GB0007980591	Energy	BP.
GB00B03MM408	Energy	RDSB
US5801351017	Consumer Discretionary	MCD
US8552441094	Consumer Discretionary	SBUX
US09857L1089	Consumer Discretionary	BKNG
US8725401090	Consumer Discretionary	TJX
KW0EQ0100010	Financials	NBK
KW0EQ0100085	Financials	KFH
BH0005508765	Financials	AUB
KE1000001402	Communication	SCOM
MA0000011488	Communication	IAM
VN000000VIC9	Real Estate	VIC
KW0EQ0601058	Communication	ZAIN
ROTLVAACNOR1	Financials	TLV
VN000000VNM8	Consumer Staples	VNM
MA0000011926	Financials	ATW
BD0473SQPH00	Health Care	SQURPHARMA
GB00BDR05C01	Utilities	NG.
FR0010208488	Utilities	ENGI
NZATME0002S8	Consumer Staples	ATM
NZFAPE0001S2	Health Care	FPH
NZRYME0001S4	Health Care	RYM
NZFBUE0001S0	Materials	FBU
NZMRPE0001S2	Utilities	MCY
NZIFTE0003S3	Utilities	IFT
NZCNUE0001S2	Communication	CNU
NZKPGE0001S9	Real Estate	KPG
NZZELE0001S1	Energy	ZEL
NZCPTE0001S9	Real Estate	GMT
NZAPTE0001S3	Real Estate	PCT
NZGNEE0001S7	Utilities	GNE
US00724F1012	Information Technology	ADBE
TW0002330008	Information Technology	2330
US70450Y1038	Information Technology	PYPL
GB0005405286	Financials	HSBA
GB0009252882	Health Care	GSK
GB0007099541	Financials	PRU
GB00B24CGK77	Consumer Staples	RB.
GB0008706128	Financials	LLOY
GB00B2B0DG97	Industrials	REL
DE0005557508	Communication	DTE
DE0008430026	Financials	MUV2
DE0005552004	Industrials	DPW
DE0005810055	Financials	DB1
QA0006929895	Financials	QNBK
QA000A0KD6K3	Industrials	IQCD
QA0006929853	Financials	QIBK
QA000A0M8VM3	Financials	MARK
QA0007227752	Financials	CBQK
QA000VSUG130	Materials	MPHC
QA0006929812	Utilities	QEWS
QA0001200771	Energy	QFLS
QA000A0KD6J5	Real Estate	BRES
QA000A0KD6L1	Energy	QGTS
QA0007227737	Communication	ORDS
QA0006929838	Financials	QATI
QA000A0NE8B4	Real Estate	ERES
QA0006929770	Financials	DHBK
QA0007227695	Industrials	QNNS
ES0178430E18	Communication	TEF
ES0113211835	Financials	BBVA
ES0148396007	Consumer Discretionary	ITX
ES0109067019	Information Technology	AMS
ES0173516115	Energy	REP
ES0118900010	Industrials	FER
ES0167050915	Industrials	ACS
ES0171996087	Health Care	GRF
ES0173093024	Utilities	REE
ES0140609019	Financials	CABK
ES0130670112	Utilities	ELE
ES0116870314	Utilities	NTGY
ES0113860A34	Financials	SAB
ES0105066007	Communication	CLNX
US79466L3024	Information Technology	CRM
RU0007661625	Energy	GAZP
US01609W1027	Consumer Discretionary	BABA
KYG8569A1067	Real Estate	1918
KR7005931001	Information Technology	005935
US3682872078	Energy	OGZD
US69343P1057	Energy	LKOD
US80585Y3080	Financials	SBER
BE0003810273	Communication	PROX
NL0000303709	Financials	AGN
FR0000130809	Financials	GLE
PTEDP0AM0009	Utilities	EDP
FR0000045072	Financials	ACA
FR0000131906	Consumer Discretionary	RNO
FR0000133308	Communication	ORA
